battle_slug,side,casualties_low,casualties_high,confidence,source_slug
battle_of_caldera_bay_b,Congresistas,182,182,medium,
battle_of_calderon_bridge_b,Kingdom of Spain,1000,1000,medium,
battle_of_calderon_bridge_b,Mexican Insurgents,1200,13000,medium,
battle_of_caldiero_1796_b,First French Republic,1800,2000,medium,
battle_of_caldiero_1796_b,Habsburg monarchy,1300,1300,medium,
battle_of_caldiero_1809_b,French Empire,1000,1000,medium,
battle_of_caldiero_1813_b,Austrian Empire,1500,1500,medium,
battle_of_caldiero_1813_b,French Empire,1000,1000,medium,
battle_of_caldiero_b,Austrian Empire,9221,9221,medium,
battle_of_caldiero_b,French Empire,3729,3729,medium,
battle_of_calebee_creek_b,États-Unis,150,150,medium,
battle_of_callao_b,Peru,2000,2000,medium,
battle_of_calliano_b,Austria,3567,3567,medium,
battle_of_calliano_b,First French Republic,4400,4400,medium,
battle_of_calumpit_b,Estados Unidos,127,700,medium,
battle_of_camden_b,United States,1000,1000,medium,
battle_of_camperdown_b,Batavian Republic,3775,3775,medium,
battle_of_campo_maior_b,Empire français,200,200,medium,
battle_of_campo_maior_b,Royaume-Uni de Grande-Bretagne et d'Irlande,168,225,medium,
battle_of_campo_tenese_b,Kingdom of Naples,1000,1000,medium,
battle_of_canada_strongest_b,Paraguay,1500,1500,medium,
battle_of_canton_1841_b,Qing China,1000,1000,medium,
battle_of_canton_b,Dynastie Qing,123,400,medium,
battle_of_cao_bang_1979_b,China,18000,18000,medium,
battle_of_cape_esperance_b,Empire du Japon,111,454,medium,
battle_of_cape_esperance_b,États-Unis,163,163,medium,
battle_of_cape_gloucester_b,Japan,2000,2000,medium,
battle_of_cape_gloucester_b,United States,1083,1083,medium,
battle_of_cape_ortegal_b,Empire français,730,730,medium,
battle_of_cape_ortegal_b,Royaume-Uni de Grande-Bretagne et d'Irlande,111,111,medium,
battle_of_cape_st_george_b,Empire du Japon,647,647,medium,
battle_of_cape_st_vincent_1797_b,Spain,3000,3000,medium,
battle_of_cape_st_vincent_1833_b,Miguelistes,300,300,medium,
battle_of_cape_st_vincent_b,Spain,2500,2500,medium,
battle_of_caporetto_b,Austria-Hungary,70000,70000,medium,
battle_of_caporetto_b,Italy,13000,13000,medium,
battle_of_carabobo_1814_b,Spain,2100,3000,medium,
battle_of_carabobo_b,Spain,2908,2908,medium,
battle_of_cardadeu_b,Spain,2500,2500,medium,
battle_of_carmen_de_patagones_b,Provincias Unidas del Río de la Plata,100,580,medium,
battle_of_carpi_b,Kingdom of Naples,1000,1000,medium,
battle_of_carpio_b,French Empire,1100,1100,medium,
battle_of_carumbe_b,Liga de los Pueblos Libres,500,500,medium,
battle_of_casaglia_b,Kingdom of Naples,1000,1000,medium,
battle_of_casal_novo_b,Royaume-Uni de Grande-Bretagne et d'Irlande,155,155,medium,
battle_of_caseros_b,Argentine Confederation,8500,8500,medium,
battle_of_cassano_b,French Republic,6900,7500,medium,
battle_of_cassano_b,Russian Empire,2000,2500,medium,
battle_of_cassinga_b,Sudáfrica,150,150,medium,
battle_of_castalla_1812_b,Kingdom of Spain,3000,3000,medium,
battle_of_castalla_b,French Empire,1400,1400,medium,
battle_of_castel_di_sangro_b,Royaume de Naples,206,400,medium,
battle_of_castelfranco_veneto_b,Austrian Empire,4400,4400,medium,
battle_of_castellon_b,Empire français,330,330,medium,
battle_of_castellon_b,Royaume d'Espagne,120,120,medium,
battle_of_castiglione_b,France,1300,1300,medium,
battle_of_castiglione_b,Habsburg monarchy,3000,3000,medium,
battle_of_castillejos_b,Morocco,2000,2000,medium,
battle_of_castle_itter_b,Waffen-SS,100,100,medium,
battle_of_catalan_b,Federal League,1190,1190,medium,
battle_of_cedar_creek_1864_b,Confederate States,2910,2910,medium,
battle_of_cedar_creek_1864_b,United States,5665,5665,medium,
battle_of_cedar_mountain_b,Confederate States,1338,1338,medium,
battle_of_cedar_mountain_b,United States,2353,2353,medium,
battle_of_cerro_cora_b,Paraguay,200,245,medium,
battle_of_cerro_de_pasco_b,Освободительная армия,422,422,medium,
battle_of_cervera_b,Французская империя,995,995,medium,
battle_of_cesenatico_b,Royaume de Naples,200,500,medium,
battle_of_cesis_b,Estonie,110,405,medium,
battle_of_chacabuco_b,Armée des Andes,132,132,medium,
battle_of_chacabuco_b,Royaume d'Espagne,500,600,medium,
battle_of_challans_b,Vendéens,300,300,medium,
battle_of_champion_hill_b,CSA (Confederacy),3840,3840,medium,
battle_of_champion_hill_b,United States,2457,2457,medium,
battle_of_chancellorsville_b,Confederate States,12764,12764,medium,
battle_of_chancellorsville_b,United States,17287,17287,medium,
battle_of_changde_b,Empire of Japan,1943,1943,medium,
battle_of_changde_b,Republic of China,23485,23485,medium,
battle_of_changhsing_b,Giappone,100,100,medium,
battle_of_changsha_1941_b,Empire of Japan,1670,1670,medium,
battle_of_changsha_1941_b,Republic of China,23858,23858,medium,
battle_of_changsha_1942_b,Empire of Japan,1591,1591,medium,
battle_of_changsha_1942_b,Republic of China,28612,28612,medium,
battle_of_changsha_b,Empire of Japan,30000,50000,medium,
battle_of_changsha_b,Republic of China,20000,20000,medium,
battle_of_chantilly_b,United States,1300,1300,medium,
battle_of_chantonnay_b,Republican France,4000,5000,medium,
battle_of_chapoo_b,Qing China,1200,1500,medium,
battle_of_chateau_thierry_b,France,1908,1908,medium,
battle_of_chateau_thierry_b,Germany,5328,5328,medium,
battle_of_chemille_b,République française,400,400,medium,
battle_of_chemille_b,Vendéens,200,600,medium,
battle_of_chemulpo_bay_b,Empire russe,220,220,medium,
battle_of_chesma_b,Ottoman Empire,11000,11000,medium,
battle_of_chiayi_b,Giappone,200,200,medium,
battle_of_chickamauga_b,Confederate States,18454,18454,medium,
battle_of_chickamauga_b,United States,16170,16170,medium,
battle_of_chillianwala_b,United Kingdom,1651,1651,medium,
battle_of_chinhai_b,Dynastie Qing,157,157,medium,
